Time,Q1,Q2,T1,T2
0.0,0.0,0.0,20.949499999999997,20.949499999999997
2.0,0.0,0.0,20.949499999999997,20.949499999999997
4.0,0.0,0.0,20.949499999999997,20.949499999999997
6.0,0.0,0.0,20.949499999999997,20.949499999999997
8.0,0.0,0.0,20.949499999999997,20.949499999999997
10.0,0.0,0.0,20.949499999999997,20.949499999999997
12.0,0.0,0.0,20.949499999999997,20.949499999999997
14.0,0.0,0.0,20.949499999999997,20.949499999999997
16.0,0.0,0.0,20.6272,20.949499999999997
18.0,0.0,0.0,20.6272,20.949499999999997
20.0,80.0,0.0,20.949499999999997,20.949499999999997
22.0,80.0,0.0,20.949499999999997,20.949499999999997
24.0,80.0,0.0,20.949499999999997,20.949499999999997
26.0,80.0,0.0,21.2718,20.6272
28.0,80.0,0.0,21.2718,20.949499999999997
30.0,80.0,0.0,21.594099999999997,20.949499999999997
32.0,80.0,0.0,21.9164,20.949499999999997
34.0,80.0,0.0,22.238699999999998,20.949499999999997
36.0,80.0,0.0,22.561,20.949499999999997
38.0,80.0,0.0,22.8833,20.949499999999997
40.0,80.0,0.0,23.5279,20.949499999999997
42.0,80.0,0.0,23.850199999999997,20.949499999999997
44.0,80.0,0.0,24.494799999999998,20.949499999999997
46.0,80.0,0.0,24.817099999999996,21.2718
48.0,80.0,0.0,25.461699999999997,21.2718
50.0,80.0,0.0,25.784,21.2718
52.0,80.0,0.0,26.4286,21.2718
54.0,80.0,0.0,26.750899999999998,21.2718
56.0,80.0,0.0,27.3955,21.2718
58.0,80.0,0.0,27.717799999999997,21.594099999999997
60.0,80.0,0.0,28.362399999999997,21.594099999999997
62.0,80.0,0.0,28.6847,21.594099999999997
64.0,80.0,0.0,29.329299999999996,21.594099999999997
66.0,80.0,0.0,29.973899999999997,21.9164
68.0,80.0,0.0,30.2962,21.9164
70.0,80.0,0.0,30.618499999999997,21.9164
72.0,80.0,0.0,31.263099999999998,21.9164
74.0,80.0,0.0,31.9077,21.9164
76.0,80.0,0.0,32.23,22.238699999999998
78.0,80.0,0.0,32.8746,22.238699999999998
80.0,80.0,0.0,33.1969,22.238699999999998
82.0,80.0,0.0,33.841499999999996,22.238699999999998
84.0,80.0,0.0,34.163799999999995,22.561
86.0,80.0,0.0,34.8084,22.561
88.0,80.0,0.0,35.1307,22.561
90.0,80.0,0.0,35.775299999999994,22.561
92.0,80.0,0.0,36.0976,22.561
94.0,80.0,0.0,36.4199,22.8833
96.0,80.0,0.0,37.064499999999995,22.8833
98.0,80.0,0.0,37.386799999999994,22.8833
100.0,80.0,35.0,38.0314,23.205599999999997
102.0,80.0,35.0,38.353699999999996,23.205599999999997
104.0,80.0,35.0,38.675999999999995,23.205599999999997
106.0,80.0,35.0,39.3206,23.205599999999997
108.0,80.0,35.0,39.6429,23.5279
110.0,80.0,35.0,39.965199999999996,23.5279
112.0,80.0,35.0,40.6098,23.850199999999997
114.0,80.0,35.0,40.9321,23.850199999999997
116.0,80.0,35.0,41.2544,24.1725
118.0,80.0,35.0,41.576699999999995,24.1725
120.0,80.0,35.0,41.898999999999994,24.494799999999998
122.0,80.0,35.0,42.2213,24.494799999999998
124.0,80.0,35.0,42.865899999999996,24.817099999999996
126.0,80.0,35.0,43.188199999999995,24.817099999999996
128.0,80.0,35.0,43.51049999999999,24.817099999999996
130.0,80.0,35.0,43.8328,25.1394
132.0,80.0,35.0,44.1551,25.461699999999997
134.0,80.0,35.0,44.799699999999994,25.784
136.0,80.0,35.0,45.122,25.784
138.0,80.0,35.0,45.4443,26.106299999999997
140.0,80.0,35.0,45.7666,26.106299999999997
142.0,80.0,35.0,46.088899999999995,26.4286
144.0,80.0,35.0,46.411199999999994,26.4286
146.0,80.0,35.0,46.7335,26.750899999999998
148.0,80.0,35.0,47.0558,26.750899999999998
150.0,80.0,35.0,47.378099999999996,27.073199999999996
152.0,80.0,35.0,47.700399999999995,27.073199999999996
154.0,80.0,35.0,48.02269999999999,27.3955
156.0,80.0,35.0,48.345,27.3955
158.0,80.0,35.0,48.6673,27.717799999999997
160.0,80.0,35.0,48.989599999999996,27.717799999999997
162.0,80.0,35.0,49.311899999999994,28.0401
164.0,80.0,35.0,49.63419999999999,28.0401
166.0,80.0,35.0,49.63419999999999,28.362399999999997
168.0,80.0,35.0,49.9565,28.362399999999997
170.0,80.0,35.0,50.2788,28.6847
172.0,80.0,35.0,50.601099999999995,28.6847
174.0,80.0,35.0,50.923399999999994,28.6847
176.0,80.0,35.0,51.2457,29.006999999999998
178.0,80.0,35.0,51.568,29.006999999999998
180.0,80.0,35.0,51.890299999999996,29.329299999999996
182.0,80.0,35.0,52.212599999999995,29.329299999999996
184.0,80.0,35.0,52.212599999999995,29.329299999999996
186.0,80.0,35.0,52.53489999999999,29.6516
188.0,80.0,35.0,52.8572,29.973899999999997
190.0,80.0,35.0,53.1795,29.973899999999997
192.0,80.0,35.0,53.1795,29.973899999999997
194.0,80.0,35.0,53.501799999999996,30.2962
196.0,80.0,35.0,53.824099999999994,30.2962
198.0,80.0,35.0,54.14639999999999,30.618499999999997
200.0,80.0,35.0,54.14639999999999,30.618499999999997
202.0,80.0,35.0,54.4687,30.618499999999997
204.0,80.0,35.0,54.791,30.940799999999996
206.0,80.0,35.0,54.791,30.940799999999996
208.0,80.0,35.0,55.113299999999995,30.940799999999996
210.0,80.0,35.0,55.435599999999994,31.263099999999998
212.0,80.0,35.0,55.435599999999994,31.263099999999998
214.0,80.0,35.0,55.75789999999999,31.585399999999996
216.0,80.0,35.0,56.0802,31.585399999999996
